Party_Name,Chair,Founded,Telephone,Address,Member_Count
Demokrat Parti,Gültekin UYSAL,23.06.1983,248 86 00,DR.SADIK AHMET CADDESİ N0:3 BALGAT/ANKARA,326.054
Teknoloji Kalkınma Partisi,Süleyman YAĞCIOĞLU,23.10.1998,0 (312) 285 03 73-74  - Fax: 0 (312) 911 68 60,Balgat Mah. 1416. Sok. No: 11 Balgat Çankaya ANKARA,9.568
Demokratik Bölgeler Partisi,Çiğdem KILIÇGÜN UÇAR - Keskin BAYINDIR,02.05.2008,220 19 50,Çankaya Mah. Çobanyıldızı Sokak No:1/10 Çankaya/ANKARA,6.691
Toplumsal Özgürlük Partisi,Şilan SÜRMELİ,09.03.2020,,Süleyman Ayten Cad. Çiçek İş Merkezi No: 37/8 Mamak/ANKARA,339
Demokratik Sol Parti,Mehmet Önder AKSAKAL,14.11.1985,212 49 50,FEVZİ ÇAKMAK CAD NO: 17 BEŞEVLER/ANKARA,24.230
Toplumcu Kurtuluş Partisi,İsmail KAPLAN,18.01.2024,,SELANİK 1 CD. LİMONCUOĞLU İŞHANI SİT. NO: 23 KIZILAY/ÇANKAYA/ANKARA,116
Denge Partisi,Gökhan EVREN,25.10.2024,,NİĞDE SK. NO: 11 / 16 SOKULLU-DİKMEN/ANKARA,101
Toprak Partisi,,04.03.2025,,PINARBAŞI MAH. BALDIRAN SK. NO: 65/B KEÇİÖREN/ANKARA,
Devlet Partisi,Yaşar EPÇAÇAN,12.11.2020,,Korkutreis Mah. Necatibey Cad. NO: 13/10 Kızılay ÇANKAYA/ANKARA,480
Turan Partisi,Cengiz ÇİFTÇİ,21.11.2023,,İşçi Blokları Mah. Muhsin Yazıcıoğlu Cad. Regnum Sky Towers No:57   8. Kat 24 ÇANKAYA/ANKARA,0
Devrim Hareketi,Erçin FIRAT,18.11.2020,,Ayrancı Mah. Yazanlar Sokak No:28/B ÇANKAYA/ANKARA,53
Turan Hareketi Partisi,Varol ESEN,02.07.2014,,Büyükesat Mah. Koza 1.Cad. Sev Apt. No: 153/4 GOP Çankaya/ANKARA,317
Devrimci İşçi Partisi,Ömer Sungur SAVRAN,07.09.2007,-,Sağlık Mahallesi Mithat Paşa Caddesi No: 13/21 Çankaya/ANKARA,47
Tuğra Partisi,Hatice ÇELİK İLKÖZEN,28.06.2021,,Bahçeleriçi Mah. Emirler Sk. Onur Apt. No: 8/2 Mamak/ANKARA,563
Devrimci Sosyalist İşçi Partisi,Helin ALP,25.04.1997,0312 231 31 66,Konur 1 Sok 14/13 Kızılay/Ankara,91
Türkiye Ekonomi ve Kalkınma Partisi,Rahim OLUÇ,01.09.2014,-,Beştepe Mah. Mucize Cad. No: 3/2 Yenimahalle/ANKARA,40
